id,flight,date,fromS,toD,begindate,enddate,time,price,price_Predict,punc_Rate,Duration
9,中国国航,2020/7/28,阿克苏机场,成都双流国际机场T2,14:00,17:55,3:55:00,2770,2071.061391,0.98,235
14,华夏航空,2020/5/3,阿克苏机场,和田机场,8:40,11:00,2:20:00,150,455.2960104,0.96070153,140
16,华夏航空,2020/5/2,阿克苏机场,和田机场,18:00,20:25,2:25:00,250,546.3251483,1,145
18,长龙航空,2020/6/2,阿克苏机场,杭州萧山国际机场T3,9:25,16:25,7:00:00,925,1083.64753,0.98,420
33,中国国航,2020/5/1,阿克苏机场,青岛流亭国际机场T1,18:30,1:25,6:55:00,1620,2030.408274,0.98,415
39,华夏航空,2020/5/3,阿克苏机场,莎车机场,9:00,10:00,1:00:00,180,285.6854027,1,60
42,华夏航空,2020/5/2,阿克苏机场,图木舒克唐王城机场,11:35,12:15,0:40:00,170,142.2908168,0.97,40
46,南方航空,2020/5/1,阿克苏机场,乌鲁木齐地窝堡国际机场T3,9:30,10:45,1:15:00,1900,925.4839819,0.95,75
48,南方航空,2020/5/1,阿克苏机场,乌鲁木齐地窝堡国际机场T3,18:15,19:30,1:15:00,760,645.9111399,0.91,75
50,长龙航空,2020/5/2,阿克苏机场,乌鲁木齐地窝堡国际机场T2,22:35,23:55,1:20:00,308,685.3268049,0.97,80
90,幸福航空,2020/5/9,阿拉善左旗机场,阿拉善右旗机场,8:50,10:00,1:10:00,90,261.7776172,0.98,70
94,华夏航空,2020/5/3,阿拉善左旗机场,呼和浩特白塔国际机场,10:40,12:00,1:20:00,150,247.6515128,0.91,80
98,幸福航空,2020/6/14,阿拉善左旗机场,天津滨海国际机场T2,13:25,17:20,3:55:00,1163,1587.817118,0.96070153,235
103,华夏航空,2020/5/10,阜阳西关机场,长沙黄花国际机场T2,18:05,19:30,1:25:00,300,299.5948934,0.96070153,85
118,厦门航空,2020/5/3,福州长乐国际机场,北京大兴国际机场,8:00,10:45,2:45:00,1160,985.5135317,0.96070153,165
119,中国国航,2020/5/1,福州长乐国际机场,北京首都国际机场T3,11:55,14:50,2:55:00,1770,2458.161387,0.98,175
121,南方航空,2020/5/2,福州长乐国际机场,北京大兴国际机场,12:00,14:45,2:45:00,1780,1324.688447,0.96070153,165
122,南方航空,2020/5/1,福州长乐国际机场,北京大兴国际机场,12:00,15:00,3:00:00,1780,2162.379571,0.96070153,180
124,厦门航空,2020/5/7,福州长乐国际机场,北京大兴国际机场,12:00,15:00,3:00:00,1260,755.6689164,0.96070153,180
125,海南航空,2020/7/1,福州长乐国际机场,北京首都国际机场T1,13:05,15:55,2:50:00,1245,2809.069845,0.88,170
126,瑞丽航空,2020/5/3,福州长乐国际机场,北海福成机场,20:15,22:30,2:15:00,280,439.521135,0.9,135
133,厦门航空,2020/5/2,福州长乐国际机场,长沙黄花国际机场T2,7:20,8:55,1:35:00,180,463.1692284,1,95
134,河北航空,2020/5/3,福州长乐国际机场,长沙黄花国际机场T2,7:20,8:55,1:35:00,904,375.2775824,1,95
140,东方航空,2020/5/2,福州长乐国际机场,长沙黄花国际机场T2,12:35,14:20,1:45:00,500,535.931791,1,105
144,厦门航空,2020/5/2,福州长乐国际机场,成都双流国际机场T2,7:35,10:40,3:05:00,440,725.6693782,0.98,185
146,河北航空,2020/5/2,福州长乐国际机场,成都双流国际机场T2,7:35,10:40,3:05:00,1906,864.6180686,0.98,185
148,四川航空,2020/5/1,福州长乐国际机场,成都双流国际机场T1,12:15,16:50,4:35:00,560,956.9400267,1,275
154,东方航空,2020/5/2,福州长乐国际机场,成都双流国际机场T2,12:35,17:25,4:50:00,1160,905.9628406,1,290
159,河北航空,2020/5/1,福州长乐国际机场,固原六盘山机场,7:50,12:35,4:45:00,1476,1226.252153,0.97,285
167,南方航空,2020/5/1,福州长乐国际机场,贵阳龙洞堡国际机场T2,8:20,10:45,2:25:00,750,768.9100816,1,145
174,厦门航空,2020/5/3,福州长乐国际机场,海口美兰国际机场,7:30,9:50,2:20:00,390,466.7500896,1,140
176,海南航空,2020/5/6,福州长乐国际机场,海口美兰国际机场,17:55,20:15,2:20:00,390,428.6738506,0.96070153,140
180,南方航空,2020/5/3,福州长乐国际机场,呼和浩特白塔国际机场,13:20,17:55,4:35:00,1870,1342.589155,0.96,275
187,厦门航空,2020/5/3,福州长乐国际机场,井冈山机场,11:25,12:55,1:30:00,340,362.8817336,0.89,90
188,厦门航空,2020/5/11,福州长乐国际机场,济南遥墙国际机场,11:30,13:45,2:15:00,440,459.1884976,1,135
190,中国国航,2020/5/1,福州长乐国际机场,济南遥墙国际机场,15:45,17:50,2:05:00,950,796.1077946,0.91,125
201,瑞丽航空,2020/5/3,福州长乐国际机场,昆明长水国际机场,20:15,1:00,4:45:00,445,442.8714786,0.9,285
214,厦门航空,2020/5/3,福州长乐国际机场,泸州云龙机场,13:55,18:30,4:35:00,500,566.8387782,0.97,275
220,厦门航空,2020/5/3,福州长乐国际机场,南京禄口国际机场T2,7:25,8:50,1:25:00,280,301.8305876,0.97,85
221,河北航空,2020/5/1,福州长乐国际机场,南京禄口国际机场T2,7:25,8:50,1:25:00,904,672.3518667,0.98,85
226,厦门航空,2020/5/1,福州长乐国际机场,南京禄口国际机场T2,12:50,14:15,1:25:00,410,562.1041316,1,85
230,厦门航空,2020/5/2,福州长乐国际机场,南宁吴圩国际机场T2,11:25,13:55,2:30:00,520,601.2760528,0.98,150
233,深圳航空,2020/5/1,福州长乐国际机场,南宁吴圩国际机场T2,15:35,18:05,2:30:00,520,704.8375001,1,150
238,厦门航空,2020/6/26,福州长乐国际机场,青岛流亭国际机场T1,9:10,11:30,2:20:00,750,738.6084683,1,140
242,山东航空,2020/5/4,福州长乐国际机场,青岛流亭国际机场T1,21:15,23:35,2:20:00,440,440.6802886,0.93,140
245,南方航空,2020/5/2,福州长乐国际机场,上海虹桥国际机场T2,8:00,9:25,1:25:00,790,900.8891901,1,85
247,上海航空,2020/5/4,福州长乐国际机场,上海虹桥国际机场T2,9:30,10:55,1:25:00,360,310.3344703,1,85
253,河北航空,2020/5/2,福州长乐国际机场,上海虹桥国际机场T1,11:30,12:50,1:20:00,1044,918.3165642,1,80
256,首都航空,2020/5/6,福州长乐国际机场,三亚凤凰国际机场T2,21:00,23:25,2:25:00,440,458.5720513,0.97,145
258,厦门航空,2020/5/7,福州长乐国际机场,沈阳桃仙国际机场T3,8:50,13:55,5:05:00,590,526.2469816,0.98,305
272,厦门航空,2020/5/1,福州长乐国际机场,石家庄正定国际机场T2,13:25,17:40,4:15:00,800,1086.157371,0.84,255
273,河北航空,2020/5/1,福州长乐国际机场,石家庄正定国际机场T2,13:25,17:40,4:15:00,772,1023.068739,0.84,255
275,厦门航空,2020/5/3,福州长乐国际机场,太原武宿国际机场T2,7:30,10:20,2:50:00,600,471.766295,0.98,170
278,厦门航空,2020/5/3,福州长乐国际机场,太原武宿国际机场T2,17:25,19:55,2:30:00,600,478.5869779,0.98,150
294,西藏航空,2020/5/1,福州长乐国际机场,乌鲁木齐地窝堡国际机场,15:45,23:40,7:55:00,1920,1407.208925,0.89,475
296,厦门航空,2020/5/11,福州长乐国际机场,武汉天河国际机场T3,8:10,10:05,1:55:00,390,462.9463558,1,115
298,成都航空,2020/5/3,福州长乐国际机场,梧州西江机场,15:45,18:00,2:15:00,340,439.8603794,0.97,135
304,长安航空,2020/5/16,福州长乐国际机场,西安咸阳国际机场T2,13:15,18:15,5:00:00,370,487.3154444,0.93,300
308,福州航空,2020/5/1,福州长乐国际机场,襄阳刘集机场,15:15,17:25,2:10:00,740,633.3705805,0.93,130
309,桂林航空,2020/5/3,福州长乐国际机场,徐州观音机场T2,21:15,23:15,2:00:00,305,462.126406,0.96070153,120
312,河北航空,2020/5/1,福州长乐国际机场,运城张孝机场,7:25,12:15,4:50:00,1326,1203.334758,1,290
313,厦门航空,2020/5/7,福州长乐国际机场,运城张孝机场,7:30,11:50,4:20:00,660,505.0011976,1,260
332,昆明航空,2020/5/1,福州长乐国际机场,郑州新郑国际机场T2,16:55,19:10,2:15:00,610,549.1947536,0.97,135
334,南方航空,2020/5/1,福州长乐国际机场,郑州新郑国际机场T2,17:20,19:30,2:10:00,610,654.3624652,0.93,130
